Master Record Number,Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Time Notified,Time Arrived,Investigation Complete?,Photos Taken?,Unique Location Id,State Property Damage?,Traffic Control,NARRATIVE
903289180,BLOOMINGTON PD,B1900016,MONROE,BLOOMINGTON,BLOOMINGTON,1/1/2019,1:50 AM,2,0,0,0,0,,WALNUT,ST,,,,WALNUT,7TH,,,,Y,,100,N,39.16891463,-86.53356318,LOCAL/CITY ROAD,,N,Y,URBAN,,,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,$1001 TO $2500,OPPOSITE DIRECTION SIDESWIPE,150,155,N,Y,7THSTWALNUTST,0,NONE,"On January 1st 2019 at approximately 01:50AM I was dispatched to the area of 7th and Walnut for a vehicle accident. I was advised by Bloomington City Dispatch that one of the vehicles had left the area. It was described as a black Mercedes SUV and it had turned onto 7th street traveling west. Once I reached the area I made contact with Karen Lirot, she stated that she was working tonight for Uber and was dropping off subjects outside of Kilroy's Sports located at 319 N. Walnut street, Bloomington IN. Karen stated that the front seat passenger was starting to exit the vehicle when she noticed a black Mercedes SUV traveling south on Walnut. As the vehicle attempted to pass Karen it struck her 2006 Mercury SUV on the passenger side causing light damage to the vehicle. The SUV then continued south on Walnut then turned west onto 7th street at a high rate of speed. Karen's vehicle had a skid mark from the front passenger door to the back of the vehicle, her passenger side mirror was also broken. It appears the suspect vehicle should have damage on the passenger side front bumper. Photographs were taken of Karen's SUV and will be placed with this case, I completed a vehicle field crash from and provided Karen a copy of that for her insurance."
903289429,BLOOMINGTON PD,B1900080,MONROE,BLOOMINGTON,BLOOMINGTON,1/1/2019,6:39 PM,2,0,1,0,0,,PETE ELLIS,DR,,,,N PETE ELLIS,1OTH,,,,Y,,,,0,0,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,639,650,Y,Y,E1OTHSTNPETEELLISDR,0,TRAFFIC CONTROL SIGNAL,"V1 and V2 were traveling W/B on 10th St approaching the intersection of 10th and Pete Ellis Dr. V1 rear ended V2 causing damage to the vehicle.D1 stated that he was traveling W/B on 10th St directly behind V2. D1 advised that he got distracted and took his eyes off the road for a second before rear ending V2. V1 air bags deployed, but D1 was not injured. D2 advised that she was traveling W/B on 10th St. D2 advised that she had her left turn signal on, to turn S/B onto Pete Ellis Dr. D2 stated that she came to a complete stopped at the traffic light before she felt the impact of V1 rear ending V2. D2 advised that she had a complaint of pain of 5 out of 10 to her head and was treated on scene. Due to D1 following to closely, V1 rear ended V2 causing damage to V2."
903289340,INDIANA UNIV BLOOMINGTON PD,190001,MONROE,BLOOMINGTON,BLOOMINGTON,1/1/2019,12:47 PM,1,0,1,0,0,,JORDAN,AVE,,,,JORDAN,7TH,,,,Y,,,,39.169065,-86.516155,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,1251,1253,Y,Y,7THSTJORDANAVE,1,STOP SIGN,"Assisting Officer: Mark Norris #38. He spoke with Robin Rupp who was riding her bicycle with her husband Steven Gilbert, who was the bicyclist involved in the crash.Explain in narrative: Type of Crash: Vehicle vs. BicycleV1 was traveling south bound on Jordan Avenue, and approaching the 4 way stop intersection at 7th Street and Jordan Ave. Upon my arrival V1 was stopped facing southbound on Jordan Avenue at the intersection. The bicyclist was traveling westbound on 7th Street approaching the intersection. Upon my arrival the bicyclist was lying on his back, on the asphalt, on Jordan Avenue. The bicyclist was being medically evaluated by BHAS Truck 2164.D1 said she was traveling southbound on Jordan Avenue in V1 approaching the intersection of Jordan Avenue and 7th Street. D1 said she came to a stop at the intersection in V1. D1 said she looked left (east) and saw the bicyclist on 7th Street coming toward the intersection. D1 said she thought the bicyclist was going to stop at the 4 way intersection. D1 said she then looked right (west) and did not see anyone. D1 said she then proceed southbound through the intersection. D1 said that's when the bicyclist was struck by V1. D1 said she believed the bicyclist did not stop at the stop sign on 7th Street. V1 had damage to the entire front windshield. The bicyclist said he was traveling westbound on 7th street approaching the intersection of Jordan Avenue and 7th Street. The bicyclist said he was stopped at the 4 way intersection on 7th Street, with his bike shoe unclipped from the pedal to balance himself on the roadway while stopped. The bicyclist said he saw V1 traveling southbound on Jordan Avenue approaching the intersection and begin slowing down. The bicyclist said he clipped his bike shoe back into the pedal and began to proceed westbound on 7th Street due to thinking V1 was going to come to a complete stop. The bicyclist said when he proceeded through the intersection he was struck by V1. The bicyclist thought V1 did a rolling stop at the intersection. Officer Norris spoke with Robin Rupp who said she saw the crash, but did not see who stopped or disregarded the stop sign. The bicyclist was transported to IU Bloomington Health ER for complaint of pain to his right shoulder and chest area along with a scrape on his right knee.V1 was towed by Blands Towing. Photos are available for this incident."
903289285,BLOOMINGTON PD,B1900040,MONROE,BLOOMINGTON,BLOOMINGTON,1/1/2019,8:00 AM,1,0,0,0,0,2215,CONVENANTER,DR,,,,E CONVENANTER,,,,,Y,PRIVATE,,,39.15555,-86.50447,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,UNDER $1001,RAN OFF ROAD,1005,1014,Y,N,ECONVENANTERDR,0,NONE,"Property Owner, Trenton Jones, noticed that a stone driveway pole had been hit by an unknown vehicle. Trenton stated he arrived at the residence last night,12-31-2018 at 10:00 PM and noticed the damage at 08:00 AM 01/01/2019. Unknown make or model of vehicle or suspect information. The pole had been knocked over in the yard.It appears the vehicle was traveling west on E. Convenantar Dr. When the vehicle approached a left hand corner at Trenton's residence, the driver ran off the roadway and onto Trenton's driveway. The vehicle then struck the stone driveway pole, went into a ditch and then re-entered the roadway."
903291376,MONROE SD,M19A15,MONROE,BLOOMINGTON,BLOOMINGTON,1/1/2019,4:55 AM,1,0,1,0,0,,ARLINGTON,RD,,,,ARLINGTON,RAJUMI,,,,N,,840,W,39.20772792,-86.57433221,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$10001 TO $25000,RAN OFF ROAD,458,502,Y,Y,ARLINGTONRDRAJUMIST,0,LANE CONTROL,Spoke to D1 and could detect the odor of an alcoholic beverage emanating from his exhaled breath. D1 stated V1 was traveling west bound on Arlington Rd and just after he passed Rajumi St a deer ran into V1's path. D1 stated he swerved to miss the deer and lost control and V1 slid off the north side of the roadway. He further stated V1 traveled a short distance off the road and into a large tree causing damage to the front of V1. D1 had visible head injuries and cuts with bleeding on his arms as a result of the crash. D1 submitted to a PBT and that result was .08. Due to D1's injuries SFST's could not be performed. D1 was treated by EMS on scene and refused transport for further medical treatment. V1 was towed due to disabling damage.
903289385,BLOOMINGTON PD,B1900090,MONROE,BLOOMINGTON,BLOOMINGTON,1/1/2019,3:28 AM,2,0,0,0,0,,W 7TH,ST,,,,W 7TH,N WALDRON,,,,Y,,,,39.168752,-86.5436,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,328,330,Y,Y,NWALDRONSTW7THST,0,NONE,"On 1/1/2019, at approximately 3:30AM, Officers arrived to the scene of a reported hit-and-run involving a dark colored vehicle. While on scene, it was determined that the suspect driver (D1) was intoxicated, and was arrested at the scene. The suspect did not provide a statement regarding the accident. (this report will be linked to crash report B19-00023)Upon further investigation of the crash, I did locate V2, a maroon Mazda MX-5 (V2), parked immediately west of the intersection of E 7th and N. Waldron. V2 had damage along the driver side of the vehicle, and the front driver side wheel well. The suspect vehicle, a black Jeep Wrangler (V1), had also sustained corresponding damage to both the right and left sides of the front bumper.Based on my observations, it did appear that V1 had been driving intoxicated, traveling westbound on W. 7th St. between N. Elm and N. Waldron, when he sideswiped a parked V2 on the front driver side. After striking V2, V1 continued westbound on W. 7th St., just short of N. Elm St., side-swiping another parked vehicle near the intersection of E. 7th and N. Elm St (B19-00023), at which time, V1 sustained catastrophic damage rendering it inoperable. V1 then backed up onto the sidewalk adjacent to the 2nd vehicle, and was apprehended by Officers on scene."
903290046,BLOOMINGTON PD,B1900198,MONROE,VAN BUREN,BLOOMINGTON,1/2/2019,1:27 PM,2,0,0,0,0,,3RD,ST,,,,W 3RD,SB RAMP ONTO SR 37,,,,Y,,,,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,129,150,Y,N,SBRAMPONTOSR37RAMPW3RDST,0,YIELD SIGN,Vehicle 1 was traveling behind Vehicle 2 east on 3rd St. Both vehicles pulled into the right turn lane into merge onto the on ramp onto southbound SR 37. Vehicle 1 rear ended Vehicle 2 as the vehicles were about to merge onto the ramp.Driver 1 stated that she was looking to her left at traffic prior to merging and she rear ended Vehicle 2Driver 2 advised that he was waiting on traffic in order to pull onto the ramp when he was rear ended by Vehicle 1.
903290096,ELLETTSVILLE PD,190102361,MONROE,RICHLAND,ELLETTSVILLE,1/2/2019,7:15 PM,2,0,0,0,0,,,,SR46W,,,SR46W,1ST,,,,Y,,,,39.23144,-86.621296,STATE ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,$5001 TO $10000,SAME DIRECTION SIDESWIPE,719,721,Y,N,FIRSTSTSTSR46W,0,LANE CONTROL,Driver of vehicle one traveling east in the right lane of State Road 46 West did not see driver of vehicle two traveling east on State Road 46 West in the left lane. Driver of vehicle one attempted to change lanes and collided with driver of vehicle two.
903289723,INDIANA UNIV BLOOMINGTON PD,190004,MONROE,BLOOMINGTON,BLOOMINGTON,1/2/2019,10:27 AM,1,0,0,0,0,,INDIANA,AVE,,,,INDIANA,17TH,,,,Y,PRIVATE,25,S,39.17637542,-86.52705,UNKNOWN,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,IMPROPER TURNING,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,1033,1048,Y,Y,17THSTINDIANAAVE,0,NONE,"Explain in Narrative (type of crash under damage amount): V1 was making a left turn.Upon my arrival, V1 was parked and facing north in the gravel lot. V1 was making a left turn from the gravel parking lot to go south bound on Indiana Avenue prior to striking the pole.D1 said he was in the gravel parking lot on the east side of Indiana Avenue and the south side of 17th Street in V1. D1 said he went to turn left to go southbound on Indiana Avenue and struck the first pole knocking it over. V1 obtained damage down the lower side of the V1 on the driver side. Photos of V1 were taken.No injuries occurred."
903290419,MONROE SD,M19A163,MONROE,VAN BUREN,BLOOMINGTON,1/2/2019,1:30 PM,2,0,2,0,0,,,,SR45W,,,SR45W,DINSMORE,,,,N,,300,W,39.11460543,-86.63189064,STATE ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,$25001 TO $50000,HEAD ON BETWEEN TWO MOTOR VEHICLES,130,145,N,Y,DINSMORERDSR45W,0,NONE,Driver two stated vehicle one come around the curve left of center and he attempted to get out of the way and vehicle one hit him.Witt #1. Stated he was behind the White truck (vehicle #2) and vehicle one drove left of center and hit vehicle two (2). Witt #2 Stated she was behind vehicle one (1) and vehicle one was speeding and drove left of center a few times before hitting vehicle two (2) Witt #2 stated vehicle one drove left of center and vehicle two attempted to get out of the way and vehicle one hit vehicle two in vehicle two's lane.Marks on the road indicated vehicle one was left of center and impact was in vehicle two's lane of travel.
